"VERDICTID","TYPE","ID","DATE.ANNOUNCED","DATE.PUBLISHED","YEAR","REGION","COURT","JUDGE","DWURL","GUILTY.VERDICT"
"domv957","Penal","FE_P_932_2018_SQ","2018-11-14","2019-01-04",2018,"Ferizaj","Gjykata Themelore Ferizaj","Adem Shabani","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P__932_2018_SQ.pdf","Yes"
"domv1573","Penal","767/17","2018-09-21","2018-12-10",2018,"Gjakove","Gjykata Themelore Gjakovë","Iliriana Hoti","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_767_17_SQ.pdf","Yes"
"domv786","Penal","443/18","2018-06-07","2018-10-18",2018,"Gjilan","Gjykata Themelore Gjilan","Snežana Mihajlović","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_443_18_SQ.pdf","Yes"
"domv640","Penal","355/2016","2018-07-16","2021-09-14",2018,"Mitrovice","Dega në Vushtrri","Ferki Xhaferi","https://mitrovice.gjyqesori-rks.org/wp-content/uploads/verdicts/MIT_V_P_355_16_SQ.pdf","Yes"
"domv447","Penal","4585/17","2018-01-04","2018-05-02",2018,"Prishtine","Gjykata Themelore Prishtinë","Rustem Begolli","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4585_17_SQ.pdf","Yes"
"domv436","Penal","2821/2018","2018-11-08","2019-09-17",2018,"Prishtine","Gjykata Themelore Prishtinë","Hanefi Jashari","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_2821_2018_SQ.pdf","Yes"
"domv955","Penal","1087/2018","2019-06-11","2019-08-26",2019,"Ferizaj","Gjykata Themelore Ferizaj","Adem Shabani","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_1087_2018_SQ.pdf","Yes"
"domv861","Penal","896/19","2019-10-21","2019-11-07",2019,"Ferizaj","Gjykata Themelore Ferizaj","Ilir Bytyqi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_896_19_SQ.pdf","Yes"
"domv822","Penal","1188/19","2019-07-09","2020-10-12",2019,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_1188_19_SQ.pdf","Yes"
"domv1556","Penal","662/19","2019-12-24","2020-01-22",2019,"Gjakove","Gjykata Themelore Gjakovë","Iliriana Hoti","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_662_19_SQ.pdf","Yes"
"domv1637","Penal","673/2019","2019-12-11","2020-01-20",2019,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_673_2019_SQ.pdf","Yes"
"domv1642","Penal","P.nr.540/2019","2019-10-09","2019-11-25",2019,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_P.nr.540_2019_SQ.pdf","Yes"
"domv1565","Penal","P.nr.363/19","2019-06-24","2019-10-24",2019,"Gjakove","Gjykata Themelore Gjakovë","Diana Sina","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_P.nr.363_19_SQ.pdf","Yes"
"domv1691","Penal","P.nr.532/2019","2019-09-27","2019-11-25",2019,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_P.nr.532_2019_SQ.pdf","Yes"
"domv800","Penal","948/2019","2019-11-18","2020-01-31",2019,"Gjilan","Gjykata Themelore Gjilan","Luljete Shabani","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_948_2019_SQ.pdf","Yes"
"domv769","Penal","573/2019","2019-07-16","2020-02-28",2019,"Gjilan","Gjykata Themelore Gjilan","Sabedin Mushica","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_573_2019_SQ.pdf","Yes"
"domv770","Penal","114/2019","2019-02-25","2020-02-25",2019,"Gjilan","Gjykata Themelore Gjilan","Luljete Shabani","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_114_2019_SQ.pdf","Yes"
"domv675","Penal","P.nr.26/2019","2019-03-12","2019-07-25",2019,"Mitrovice","Gjykata Themelore Mitrovicë","Gezim Ademi","https://mitrovice.gjyqesori-rks.org/wp-content/uploads/verdicts/MIT_P_P.nr.26_2019_SQ.pdf","Yes"
"domv519","Penal","P. nr. 955/19","2019-10-25","2019-10-30",2019,"Peje","Gjykata Themelore Pejë","Sejdi Blakaj","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_P._nr._955_19_SQ.docx","Yes"
"domv523","Penal","P.nr.144/19","2019-10-14","2019-12-03",2019,"Peje","Dega në Klinë","Sabrije Rraci","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_KL_P_P.nr.144_19_SQ.docx","Yes"
"domv514","Penal","P.nr.149/19","2019-08-19","2019-11-27",2019,"Peje","Dega në Klinë","Jashar Gashi","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_KL_P_P.nr.149_19_SQ.docx","Yes"
"domv212","Penal","4221/19","2019-12-09","2020-02-24",2019,"Prishtine","Gjykata Themelore Prishtinë","Ertan Sejfulla","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4221_19_SQ.pdf","Yes"
"domv430","Penal","4553/19","2019-11-11","2019-12-19",2019,"Prishtine","Gjykata Themelore Prishtinë","Avni Syla","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4553_19_SQ.pdf","Yes"
"domv229","Penal","3055/19","2019-11-14","2019-12-18",2019,"Prishtine","Gjykata Themelore Prishtinë","Rustem Begolli","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_3055_19_SQ.pdf","Yes"
"domv427","Penal","459/2019","2019-11-26","2019-12-27",2019,"Prishtine","Dega në Gllogovc","Shefshet Baleci","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_DR_P_459_2019_SQ.pdf","Yes"
"domv223","Penal","4749/19","2019-11-19","2019-12-31",2019,"Prishtine","Gjykata Themelore Prishtinë","Kushtrim Shyti","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4749_19_SQ.pdf","Yes"
"domv1325","Penal","1446/2019","2019-12-16","2020-02-04",2019,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_1446_2019_SQ.pdf","Yes"
"domv1332","Penal","1137-19","2019-11-07","2019-12-02",2019,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_1137-19_SQ.pdf","Yes"
"domv1330","Penal","1119-19","2019-11-13","2019-12-03",2019,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_1119-19_SQ.pdf","Yes"
"domv1324","Penal","275/18","2019-09-26","2020-02-12",2019,"Prizren","Dega në Suharekë","Lavdim Bajraktari","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_TH_P_275_18_SQ.pdf","Yes"
"domv1331","Penal","1131-19","2019-11-27","2019-12-02",2019,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_1131-19_SQ.pdf","Yes"
"domv821","Penal","21/20","2020-10-28","2020-11-04",2020,"Ferizaj","Dega në Kaçanik","Zajrete Muhaxheri","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_KA_P_21_20_SQ.pdf","Yes"
"domv834","Penal","90/20","2020-06-18","2020-07-23",2020,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_90_20_SQ.pdf","Yes"
"domv837","Penal","1468/19","2020-06-15","2020-07-23",2020,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_1468_19_SQ.pdf","Yes"
"domv936","Penal","839/20","2020-11-03","2020-12-07",2020,"Ferizaj","Gjykata Themelore Ferizaj","Fitore Daci","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_839_20_SQ.pdf","Yes"
"domv820","Penal","1245/19","2020-10-01","2020-11-16",2020,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_1245_19_SQ.pdf","Yes"
"domv841","Penal","1005/19","2020-03-11","2020-04-25",2020,"Ferizaj","Gjykata Themelore Ferizaj","Ilir Bytyqi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_1005_19_SQ.pdf","Yes"
"domv1514","Penal","355/2020","2020-12-03","2020-12-15",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_355_2020_SQ.pdf","Yes"
"domv1623","Penal","21/2020","2020-05-25","2020-05-25",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_21_2020_SQ.pdf","Yes"
"domv1534","Penal","257/19","2020-06-29","2020-08-30",2020,"Gjakove","Dega në Malishevë","Njazi Morina","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_M_P_257_19_SQ.pdf","Yes"
"domv1616","Penal","285/2020","2020-09-07","2020-09-29",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_285_2020_SQ.pdf","Yes"
"domv1525","Penal","247/2020","2020-09-25","2020-10-23",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_247_2020_SQ.pdf","Yes"
"domv1551","Penal","32/2020","2020-02-12","2020-03-19",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_32_2020_SQ.pdf","Yes"
"domv1682","Penal","129/2020","2020-07-01","2020-07-30",2020,"Gjakove","Gjykata Themelore Gjakovë","Diana Sina","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_129_2020_SQ.pdf","Yes"
"domv1588","Penal","751/2019","2020-10-02","2020-10-30",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_751_2019_SQ.pdf","Yes"
"domv1536","Penal","132/2020","2020-07-15","2020-08-10",2020,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_132_2020_SQ.pdf","Yes"
"domv731","Penal","282/2020","2020-10-28","2020-12-18",2020,"Gjilan","Gjykata Themelore Gjilan","Behar Ymeri","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_282_2020_SQ.pdf","Yes"
"domv693","Penal","393/2022","2020-01-14","2022-07-25",2020,"Gjilan","Gjykata Themelore Gjilan","Behar Ymeri","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_2019-291751_SQ.pdf","Yes"
"domv746","Penal","500/2020","2020-09-29","2020-10-09",2020,"Gjilan","Gjykata Themelore Gjilan","Veli Kryeziu","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_500_2020_SQ.pdf","Yes"
"domv750","Penal","1152/2019","2020-06-30","2020-07-10",2020,"Gjilan","Gjykata Themelore Gjilan","Behar Ymeri","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_1152_2019_SQ.pdf","Yes"
"domv745","Penal","499/2020","2020-09-15","2020-10-09",2020,"Gjilan","Gjykata Themelore Gjilan","Veli Kryeziu","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_499_2020_SQ.pdf","Yes"
"domv725","Penal","428/2020","2020-12-08","2021-01-29",2020,"Gjilan","Gjykata Themelore Gjilan","Behar Ymeri","https://gjilan.gjyqesori-rks.org/wp-content/uploads/verdicts/GJ_P_428_2020_SQ.pdf","Yes"
"domv614","Penal","632/2020","2020-10-21","2020-12-01",2020,"Mitrovice","Gjykata Themelore Mitrovicë","Gezim Ademi","https://mitrovice.gjyqesori-rks.org/wp-content/uploads/verdicts/MIT_P_632_2020_SQ.pdf","Yes"
"domv631","Penal","956/2019","2020-06-25","2020-07-27",2020,"Mitrovice","Gjykata Themelore Mitrovicë","Rrahman Beqiri","https://mitrovice.gjyqesori-rks.org/wp-content/uploads/verdicts/MIT_P_956_2019_SQ.pdf","Yes"
"domv644","Penal","366/2019","2020-01-21","2020-01-29",2020,"Mitrovice","Dega në Skenderaj","Fatos Sejdijaj","https://mitrovice.gjyqesori-rks.org/wp-content/uploads/verdicts/MIT_S_P_366_2019_SQ.pdf","Yes"
"domv481","Penal","848/19","2020-06-11","2020-07-17",2020,"Peje","Gjykata Themelore Pejë","Ahmet Rexhaj","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_848_19_SQ.pdf","Yes"
"domv500","Penal","999/19","2020-01-27","2020-03-09",2020,"Peje","Gjykata Themelore Pejë","Shaqë Curri","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_999_19_SQ.docx","Yes"
"domv461","Penal","308/20","2020-09-15","2020-10-08",2020,"Peje","Gjykata Themelore Pejë","Shaqë Curri","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_308_20_SQ.pdf","Yes"
"domv487","Penal","84/20","2020-06-26","2020-07-14",2020,"Peje","Gjykata Themelore Pejë","Shaqë Curri","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_84_20_SQ.pdf","Yes"
"domv468","Penal","1086/19","2020-07-30","2020-08-18",2020,"Peje","Gjykata Themelore Pejë","Sejdi Blakaj","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_1086_19_SQ.pdf","Yes"
"domv484","Penal","763/19","2020-07-08","2020-07-16",2020,"Peje","Gjykata Themelore Pejë","Ahmet Rexhaj","https://peje.gjyqesori-rks.org/wp-content/uploads/verdicts/PE_P_763_19_SQ.pdf","Yes"
"domv402","Penal","4025/2019","2020-02-15","2020-03-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Avni Syla","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4025_2019_SQ.pdf","Yes"
"domv397","Penal","3089/2019","2020-03-06","2020-04-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Alban Ajvazi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_3089_2019_SQ.pdf","Yes"
"domv129","Penal","991/2020","2020-12-01","2021-01-31",2020,"Prishtine","Gjykata Themelore Prishtinë","Kushtrim Shyti","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_991_2020_SQ.pdf","Yes"
"domv383","Penal","157/2020","2020-06-05","2020-06-30",2020,"Prishtine","Dega në Podujeve","Minir Hoti","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_PD_P_157_2020_SQ.pdf","Yes"
"domv379","Penal","1062/20","2020-07-06","2020-07-27",2020,"Prishtine","Gjykata Themelore Prishtinë","Agim Kuçi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_1062_20_SQ.pdf","Yes"
"domv150","Penal","4174/19","2020-09-10","2020-09-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Lumnije Krasniqi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4174_19_SQ.pdf","Yes"
"domv154","Penal","129/2020","2020-08-12","2020-09-14",2020,"Prishtine","Dega në Gllogovc","Shefshet Baleci","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_DR_P_129_2020_SQ.pdf","Yes"
"domv196","Penal","43/2020","2020-01-31","2020-03-30",2020,"Prishtine","Dega në Gllogovc","Shefshet Baleci","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_DR_P_43_2020_SQ.pdf","Yes"
"domv372","Penal","113/2020","2020-07-17","2020-08-24",2020,"Prishtine","Dega në Podujeve","Gazmend Bahtiri","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_PD_P_113_2020_SQ.pdf","Yes"
"domv413","Penal","4233/19","2020-01-10","2020-02-25",2020,"Prishtine","Gjykata Themelore Prishtinë","Fatime Dermaku","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4233_19_SQ.pdf","Yes"
"domv126","Penal","405/20","2020-11-09","2021-01-31",2020,"Prishtine","Dega në Lipjan","Avdirrahman Gashi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_LI_P_405_20_SQ.pdf","Yes"
"domv152","Penal","1454/20","2020-08-11","2020-09-15",2020,"Prishtine","Gjykata Themelore Prishtinë","Ertan Sejfulla","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_1454_20_SQ.pdf","Yes"
"domv350","Penal","4903/19","2020-10-26","2020-11-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Sulltane Hoti","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4903_19_SQ.pdf","Yes"
"domv183","Penal","604/2019","2020-03-11","2020-05-31",2020,"Prishtine","Dega në Podujeve","Minir Hoti","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_PD_P_604_2019_SQ.pdf","Yes"
"domv125","Penal","377/20","2020-11-16","2021-01-31",2020,"Prishtine","Dega në Lipjan","Avdirrahman Gashi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_LI_P_377_20_SQ.pdf","Yes"
"domv331","Penal","776/15","2020-11-24","2021-04-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Naime Krasniqi-Jashanica","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_2019-165998_SQ.pdf","No"
"domv160","Penal","638/2019","2020-07-17","2020-08-24",2020,"Prishtine","Dega në Podujeve","Gazmend Bahtiri","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_638_2019_SQ.pdf","Yes"
"domv141","Penal","2524/2016","2020-10-19","2020-10-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Eroll Gashi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_2524_2016_SQ.pdf","Yes"
"domv204","Penal","4691/2018","2020-01-22","2020-02-29",2020,"Prishtine","Gjykata Themelore Prishtinë","Rustem Begolli","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4691_2018_SQ.pdf","No"
"domv173","Penal","4703/2019","2020-03-10","2020-06-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Medie Bytyqi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_4703_2019_SQ.pdf","Yes"
"domv166","Penal","943/20","2020-07-03","2020-07-31",2020,"Prishtine","Gjykata Themelore Prishtinë","Adnan Isufi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_943_20_SQ.pdf","Yes"
"domv134","Penal","2632/2019","2020-11-04","2020-11-30",2020,"Prishtine","Gjykata Themelore Prishtinë","Medie Bytyqi","https://prishtine.gjyqesori-rks.org/wp-content/uploads/verdicts/PR_P_2632_2019_SQ.pdf","Yes"
"domv1308","Penal","655/20","2020-11-16","2020-11-27",2020,"Prizren","Gjykata Themelore Prizren","Refki Piraj","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_655_20_SQ.docx","Yes"
"domv1023","Penal","762/19","2020-10-15","2020-10-30",2020,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_762_19_SQ.pdf","Yes"
"domv1107","Penal","225/18","2020-09-28","2020-12-28",2020,"Prizren","Dega në Suharekë","Lavdim Bajraktari","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_TH_P_225_18_SQ.pdf","Yes"
"domv1108","Penal","954/20","2020-11-27","2020-12-22",2020,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_954_20_SQ.pdf","Yes"
"domv1002","Penal","423/18","2020-09-23","2020-12-28",2020,"Prizren","Dega në Suharekë","Lavdim Bajraktari","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_TH_P_423_18_SQ.pdf","No"
"domv1320","Penal","944/2019","2020-03-05","2020-03-05",2020,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_944_2019_SQ.pdf","Yes"
"domv1112","Penal","735/20","2020-11-18","2020-11-30",2020,"Prizren","Gjykata Themelore Prizren","Shpresa Emra","https://prizren.gjyqesori-rks.org/wp-content/uploads/verdicts/PZ_P_735_20_SQ.pdf","Yes"
"domv881","Penal","2021_267881","2021-12-28","2022-02-22",2021,"Ferizaj","Gjykata Themelore Ferizaj","Fitore Daci","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_2021-267881_SQ.pdf","Yes"
"domv914","Penal","496/19","2021-07-07","2021-09-22",2021,"Ferizaj","Dega në Kaçanik","Burim Çaka","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_KA_P_2019-291042_SQ.pdf","Yes"
"domv892","Penal","1089/2020","2021-01-22","2021-03-24",2021,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_1089_2020_SQ.pdf","Yes"
"domv916","Penal","2021-084656","2021-05-27","2021-07-22",2021,"Ferizaj","Gjykata Themelore Ferizaj","Fitore Daci","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_2021-084655_SQ.pdf","Yes"
"domv903","Penal","2021/070381","2021-12-22","2022-01-27",2021,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_2021-070381_SQ.pdf","Yes"
"domv917","Penal","1092/20","2021-03-10","2021-06-09",2021,"Ferizaj","Gjykata Themelore Ferizaj","Shabi Idrizi","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_2020-186099_SQ.pdf","Yes"
"domv887","Penal","2021-150012","2021-10-12","2021-11-18",2021,"Ferizaj","Gjykata Themelore Ferizaj","Fitore Daci","https://ferizaj.gjyqesori-rks.org/wp-content/uploads/verdicts/FE_P_2021-150012_SQ.pdf","Yes"
"domv1435","Penal","504/2021","2021-10-18","2021-10-25",2021,"Gjakove","Gjykata Themelore Gjakovë","Besarta Doli","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_2021-219674_SQ.pdf","Yes"
"domv1478","Penal","555/20","2021-04-19","2021-05-31",2021,"Gjakove","Gjykata Themelore Gjakovë","Diana Sina","https://gjakove.gjyqesori-rks.org/wp-content/uploads/verdicts/GJK_P_2020-189477_SQ.pdf","Yes"
